Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,BusInvolvement,"RigidTruck 
Involvement","Articulated Truck 
Involvement ",SpeedLimit,RoadUser,Gender,Age
3.2016E+12,QLD,16-Jan-16,16,January,2016,Saturday,4:00,4,0,Single vehicle,No,No,No,60,Passenger,Male,29
3.2016E+12,QLD,16-Jan-16,16,January,2016,Saturday,23:00,23,0,Single vehicle,No,No,No,110,Driver,Male,38
1.2016E+12,NSW,18-Jan-16,18,January,2016,Monday,13:00,13,0,Single vehicle,No,No,No,110,Passenger,Female,15
1.2016E+12,NSW,18-Jan-16,18,January,2016,Monday,14:35,14,35,Pedestrian,No,No,No,70,Pedestrian,Female,82
4.2016E+12,SA,18-Jan-16,18,January,2016,Monday,6:00,6,0,Multiple vehicle,No,No,No,110,Passenger,Female,26
5.2016E+12,WA,18-Jan-16,18,January,2016,Monday,17:29,17,29,Multiple vehicle,No,No,No,110,Passenger,Female,74
5.2016E+12,WA,18-Jan-16,18,January,2016,Monday,17:29,17,29,Multiple vehicle,No,No,No,110,Driver,Male,75
6.2016E+12,TAS,18-Jan-16,18,January,2016,Monday,13:55,13,55,Multiple vehicle,No,No,No,50,Driver,Male,84
3.2016E+12,QLD,19-Jan-16,19,January,2016,Tuesday,14:00,14,0,Single vehicle,No,No,No,100,Driver,Male,82
4.2016E+12,SA,19-Jan-16,19,January,2016,Tuesday,18:25,18,25,Single vehicle,No,No,No,100,Driver,Male,49
2.2016E+12,VIC,20-Jan-16,20,January,2016,Wednesday,7:30,7,30,Multiple vehicle,No,Yes,No,60,Bicyclist (includes pillion passengers),Male,25
3.2016E+12,QLD,20-Jan-16,20,January,2016,Wednesday,17:00,17,0,Multiple vehicle,No,No,Yes,80,Driver,Male,44
5.2016E+12,WA,20-Jan-16,20,January,2016,Wednesday,7:40,7,40,Multiple vehicle,No,No,No,110,Driver,Female,37
5.2016E+12,WA,20-Jan-16,20,January,2016,Wednesday,7:40,7,40,Multiple vehicle,No,No,No,110,Driver,Male,21
7.2016E+12,NT,20-Jan-16,20,January,2016,Wednesday,14:00,14,0,Single vehicle,No,No,No,110,Motorcycle rider,Male,18
3.2016E+12,QLD,21-Jan-16,21,January,2016,Thursday,21:00,21,0,Single vehicle,No,No,No,50,Motorcycle rider,Male,46
1.2016E+12,NSW,22-Jan-16,22,January,2016,Friday,19:00,19,0,Pedestrian,No,No,No,60,Pedestrian,Male,21
2.2016E+12,VIC,22-Jan-16,22,January,2016,Friday,18:20,18,20,Pedestrian,No,No,No,70,Pedestrian,Female,75
3.2016E+12,QLD,22-Jan-16,22,January,2016,Friday,11:00,11,0,Single vehicle,No,No,No,100,Driver,Female,62
3.2016E+12,QLD,22-Jan-16,22,January,2016,Friday,22:00,22,0,Single vehicle,No,No,No,100,Driver,Male,47
5.2016E+12,WA,22-Jan-16,22,January,2016,Friday,2:30,2,30,Single vehicle,No,No,No,110,Driver,Male,61
5.2016E+12,WA,22-Jan-16,22,January,2016,Friday,9:35,9,35,Single vehicle,No,No,No,110,Driver,Male,40
6.2016E+12,TAS,22-Jan-16,22,January,2016,Friday,1:02,1,2,Multiple vehicle,No,No,No,50,Driver,Female,24
6.2016E+12,TAS,22-Jan-16,22,January,2016,Friday,12:20,12,20,Single vehicle,No,No,No,110,Driver,Male,30
1.2016E+12,NSW,23-Jan-16,23,January,2016,Saturday,16:05,16,5,Pedestrian,No,No,No,50,Pedestrian,Male,14
2.2016E+12,VIC,23-Jan-16,23,January,2016,Saturday,21:45,21,45,Single vehicle,No,No,No,-9,Passenger,Male,15
3.2016E+12,QLD,24-Jan-16,24,January,2016,Sunday,8:00,8,0,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,73
5.2016E+12,WA,24-Jan-16,24,January,2016,Sunday,19:53,19,53,Single vehicle,No,No,No,80,Motorcycle rider,Male,30
1.2016E+12,NSW,25-Jan-16,25,January,2016,Monday,12:08,12,8,Pedestrian,No,No,No,50,Pedestrian,Female,92
1.2016E+12,NSW,25-Jan-16,25,January,2016,Monday,18:05,18,5,Pedestrian,No,No,No,40,Pedestrian,Female,63
3.2016E+12,QLD,25-Jan-16,25,January,2016,Monday,8:00,8,0,Pedestrian,No,No,No,60,Pedestrian,Male,78
3.2016E+12,QLD,25-Jan-16,25,January,2016,Monday,16:00,16,0,Pedestrian,No,No,No,60,Pedestrian,Male,77
1.2016E+12,NSW,26-Jan-16,26,January,2016,Tuesday,12:39,12,39,Multiple vehicle,No,No,No,100,Driver,Male,57
1.2016E+12,NSW,26-Jan-16,26,January,2016,Tuesday,12:39,12,39,Multiple vehicle,No,No,No,100,Passenger,Male,88
